
Company	"Model
Number"	"Size
(Steam Pans)"	"Fuel
Type"	"Preheat
Energy
(Btu or kWh)"	"Idle Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Cooking
Water Use
(gph)"	"Idle Rate
(Btu/h or kW)"	"Energy
Efficiency
(%)"	"Production
Capacity
(lbs/h)"	"Cooking
Water Use
(gph)"	"Rebate
(per oven)"	"PG&E
Measure
Code"
Convotherm	C4e* 10.20ES	22	Electric	1.49	1.68	83%	232	0.1	1.56	76%	337	2.7	"$1,375"	F100
Convotherm	C4e* 6.20EB	14	Electric	1.46	1.42	80%	145	0	1.85	61%	213	8.1	"$1,350"	HA16
Convotherm	C4e* 6.20ES	14	Electric	1.05	1.36	81%	139	0	1.44	70%	183	0.2	"$1,350"	HA16
Convotherm	OES-10.20	20	Electric	2.30	1.70	80%	200	29	2.60	64%	332	2.2	"$1,375"	F100
Convotherm	OES-6.20	14	Electric	0.89	1.59	83%	151	8.9	2.03	59%	226	2.9	"$1,350"	HA16
Convotherm	OES10-10 Mini	5	Electric	0.54	0.73	75%	50	3.9	1.19	65%	80	2.6	"$1,350"	HA16
Eloma	*T12-21E	24	Electric	2.61	2.01	78%	203	0	3.55	67%	313	6.5	"$1,375"	F100
Henny Penny	ESC610	6	Electric	0.60	0.59	78%	57	0	1.35	63%	78	5.1	"$1,350"	HA16
Henny Penny	FPE115	10	Electric	1.10	0.90	79%	102	0	3.56	58%	174	12.5	"$1,350"	HA16
Henny Penny	FPE615	6	Electric	0.83	0.75	75%	64	0	1.50	53%	103	10.5	"$1,350"	HA16
Hobart	CE10FD-1	20	Electric	1.56	2.43	71%	166	0	3.12	66%	182	3.0	"$1,375"	F100
Piper	HME061	6	Electric	0.56	1.13	76%	69	0	1.69	58%	88	3.0	"$1,350"	HA16
Piper	NAEB072	14	Electric	1.25	1.60	81%	139	0	1.96	67%	196	10.5	"$1,350"	HA16
Piper	NAEB102	20	Electric	1.56	1.88	83%	194	0	2.34	65%	366	17.2	"$1,375"	F100
Rational	A1191*	10	Electric	0.86	1.13	79%	106	3.1	2.19	60%	201	9.6	"$1,350"	HA16
Rational	A6191*	6	Electric	0.67	0.92	76%	63	2.5	1.69	58%	111	9.0	"$1,350"	HA16
Rational	B6181*	6	Electric	0.63	0.99	76%	64	10.9	1.88	57%	115	9.5	"$1,350"	HA16
Rational	B6281*	12	Electric	0.96	1.32	79%	128	11.8	2.00	63%	202	6.7	"$1,350"	HA16
Rational	CMP101E	10	Electric	0.86	1.13	79%	106	3.1	2.19	60%	201	9.6	"$1,350"	HA16
Rational	CMP61E	6	Electric	0.67	0.92	76%	63	2.5	1.69	58%	111	9.0	"$1,350"	HA16
Rational	SCC102E	20	Electric	1.58	2.00	79%	189	-	3.30	61%	367	-	"$1,375"	F100
Rational	SCCWE61E	6	Electric	0.63	0.99	76%	64	10.9	1.88	57%	115	9.5	"$1,350"	HA16
Rational	SCCWE62E	12	Electric	0.96	1.32	79%	128	11.8	2.00	63%	202	6.7	"$1,350"	HA16
UNOX	XAVC-06FS-EPR	12	Electric	0.95	1.13	78%	117	0.2	1.33	64%	179	6.8	"$1,350"	HA16
UNOX	XAVC-10FS-EPR	20	Electric	1.54	1.57	83%	192	0	1.65	63%	287	13.0	"$1,375"	F100
														
