Qualified Pre-Rinse Spray Valves			Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Pre-rinse spray valves must 				
"have a tested flow rate of 1.15 GPM or less, utilizing ASTM F23-24."				
NOTE: Program criteria are subject to change.				
"Check your utility rebate application for terms and conditions, and effective program dates."				
Company Name	Model Number	"Flow Rate
(GPM)"	Rebate	"PG&E
Measure
Code"
Encore	KLP50-Y002-65	0.65	$35	FS001
Encore	KLP50-Y002-74	0.74	$35	FS001
Encore	KLP50-Y002105	1.05	$35	FS001
Fisher	10197	0.70	$35	FS001
Fisher	10227	0.70	$35	FS001
Fisher	11452	1.15	$35	FS001
Fisher	11622	1.15	$35	FS001
Fisher	12998	1.15	$35	FS001
Fisher	13145	1.15	$35	FS001
Fisher	13315	1.15	$35	FS001
Fisher	13366	1.15	$35	FS001
Fisher	13390	1.15	$35	FS001
Fisher	13404	1.15	$35	FS001
Fisher	13439	1.15	$35	FS001
Fisher	13587	1.15	$35	FS001
Fisher	13641	0.70	$35	FS001
Fisher	13692	0.70	$35	FS001
Fisher	19062	1.15	$35	FS001
Fisher	19445	1.15	$35	FS001
Fisher	2010	1.15	$35	FS001
Fisher	2010-WB	1.15	$35	FS001
Fisher	2011	1.15	$35	FS001
Fisher	2011-WB	1.15	$35	FS001
Fisher	2020-WB	1.15	$35	FS001
Fisher	2110	1.15	$35	FS001
Fisher	2110-WB	1.15	$35	FS001
Fisher	2111	1.15	$35	FS001
Fisher	2111-WB	1.15	$35	FS001
Fisher	2120-WB	1.15	$35	FS001
Fisher	2210	1.15	$35	FS001
Fisher	2210-WB	1.15	$35	FS001
Fisher	2211	1.15	$35	FS001
Fisher	2211-0000	1.15	$35	FS001
Fisher	2211-WB	1.15	$35	FS001
Fisher	2220-WB	1.15	$35	FS001
Fisher	2310	1.15	$35	FS001
Fisher	2310-WB	1.15	$35	FS001
Fisher	2311	1.15	$35	FS001
Fisher	2311-WB	1.15	$35	FS001
Fisher	23868	1.15	$35	FS001
Fisher	24066	1.15	$35	FS001
Fisher	2510	1.15	$35	FS001
Fisher	2510-WB	1.15	$35	FS001
Fisher	2511-WB	1.15	$35	FS001
Fisher	2610	1.15	$35	FS001
Fisher	2610-WB	1.15	$35	FS001
Fisher	2611-WB	1.15	$35	FS001
Fisher	2710	1.15	$35	FS001
Fisher	2710-WB	1.15	$35	FS001
Fisher	2711	1.15	$35	FS001
Fisher	2711-WB	1.15	$35	FS001
Fisher	2911	1.15	$35	FS001
Fisher	2928	1.15	$35	FS001
Fisher	2949	1.15	$35	FS001
Fisher	2949R	1.15	$35	FS001
Fisher	34096	1.15	$35	FS001
Fisher	34118	1.15	$35	FS001
Fisher	34126	1.15	$35	FS001
Fisher	34134	1.15	$35	FS001
Fisher	34142	1.15	$35	FS001
