TYPE OF BUILDING ALLOWED LIGHTING POWER DENSITY,(WATTS PER SQUARE FOOT)
Auditorium,1.4
Classroom,1.1
Grocery Store,1.5
Library,1.2
Office Building,0.8
Parking Garage,0.2
Religious Facility,1.5
Restaurant,1.1
Commercial and Industrial Storage Building,0.6
Convention Center Building,1
Financial Institution,1
General Commercial Building/Industrial Work Building,1
Medical Building/Clinic Building,1
School,0.95
All other buildings,0.5
Theater,1.3
