Qualified Glass Door Refrigerators					Updated 	 5/17/2017
Qualifying models must meet ENERGY STAR® Version 4.0 specification and must be listed in the California Energy Commission database.						
Products on this list qualify for purchases from the date they are added until the date they are removed.						
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."						
Company	Model Number	Style Type	"Total
Volume
(cu. ft.)"	"Daily
Energy Use
(kWh)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
True	STG1R-1G-HC	Reach-in	22.86	1.74	$60	F172
True	STG1R-1HG/1HS	Reach-in	22.33	2.11	$60	F172
True	STG1R-2HG	Reach-in	22.67	2.11	$60	F172
True	STG1RPT-1G-1G-HC	Reach-in	25.07	2.37	$60	F172
True	STG1RRI-1G	Roll-In	36.98	3.06	$80	F173
True	STG2R-2G-HC	Reach-in	48.40	3.01	$80	F173
True	STG2R-4HG-HC	Reach-in	48.01	3.41	$80	F173
True	STG2RPT-2G-2G-HC	Reach-in	52.79	3.41	$100	F174
True	STG2RPT-2G-2S-HC	Reach-in	51.25	3.41	$100	F174
True	STG2RPT-2HG/2HS-2G-HC	Reach-in	52.10	3.41	$100	F174
True	STG2RPT-2S-2G-HC	Reach-in	51.25	3.41	$100	F174
True	STG2RPT-4HG-2G-HC	Reach-in	52.40	3.41	$100	F174
True	STG2RPT-4HG-2S-HC	Reach-in	50.85	3.41	$100	F174
True	STG2RPT-4HG-4HG-HC	Reach-in	52.01	3.41	$100	F174
True	STG2RPT-4HS-2G-HC	Reach-in	51.08	3.41	$100	F174
True	STG3R-3G	Reach-in	73.78	6.52	$100	F174
True	STR1R-1G	Reach-in	22.86	2.21	$60	F172
True	STR1R-1G-HC	Reach-in	22.86	1.74	$60	F172
True	STR1R-1HG/1HS	Reach-in	22.33	2.11	$60	F172
True	STR1R-2HG	Reach-in	22.67	2.11	$60	F172
True	STR1RPT-1G-1G-HC	Reach-in	25.07	2.37	$60	F172
True	STR1RRI-1G	Roll-In	36.98	3.06	$80	F173
True	STR2R-2G-HC	Reach-in	48.40	3.01	$80	F173
True	STR2R-4HG-HC	Reach-in	48.01	3.41	$80	F173
True	STR2RPT-2G-2G-HC	Reach-in	52.79	3.41	$100	F174
True	STR2RPT-2G-2S-HC	Reach-in	51.25	3.41	$100	F174
True	STR2RPT-2HG/2HS-2G-HC	Reach-in	52.10	3.41	$100	F174
True	STR2RPT-2S-2G-HC	Reach-in	51.25	3.41	$100	F174
True	STR2RPT-4HG-2G-HC	Reach-in	52.40	3.41	$100	F174
True	STR2RPT-4HG-2S-HC	Reach-in	50.85	3.41	$100	F174
True	STR2RPT-4HG-4HG-HC	Reach-in	52.01	3.41	$100	F174
True	STR2RPT-4HS-2G-HC	Reach-in	51.08	3.41	$100	F174
True	STR3R-3G	Reach-in	73.78	6.52	$100	F174
True	T-12G-HC~FGD01	Reach-in	11.33	1.17	$40	F171
True	T-15-1-G-1-HC-LD	Reach-in	12.76	1.12	$40	F171
