Category,Lux Low End,Lux Ideal,Lux Upper End,Foot Candles Low End,Foot Candles Ideal,Foot Candles Upper End
A,20,30,50,2,3,5
B,50,75,100,5,7,10
C,100,150,200,10,15,20
D,200,300,500,20,30,50
E,500,750,1000,50,75,100
